mantenimiento_id,moto_id,mecanico_id,fecha,descripcion
107,248,65,2021-02-23 05:20:13,Revisión general
108,400,79,2022-03-28 13:49:55,Ajuste de motor
109,325,145,2020-03-20 17:57:00,Cambio de aceite
110,735,27,2021-01-13 17:31:18,Ajuste de frenos
111,739,39,2020-01-01 11:33:07,Ajuste de motor
112,369,172,2020-11-23 05:33:09,Cambio de llantas
113,140,37,2022-12-03 00:02:50,Cambio de aceite
114,82,55,2021-06-17 08:30:39,Ajuste de frenos
115,368,132,2021-09-23 21:06:30,Ajuste de frenos
116,246,189,2022-09-29 17:02:27,Cambio de aceite
117,586,21,2021-12-18 10:02:02,Ajuste de frenos
118,230,186,2020-12-02 16:27:04,Ajuste de motor
119,418,12,2022-08-26 10:05:47,Cambio de llantas
120,206,174,2021-10-24 06:28:04,Ajuste de frenos
121,422,194,2020-04-07 07:26:05,Ajuste de frenos
122,978,103,2022-06-02 09:22:20,Revisión general
123,165,91,2022-09-10 01:36:29,Ajuste de motor
124,286,146,2020-07-21 08:13:41,Cambio de aceite
125,51,5,2020-12-01 16:00:44,Revisión general
126,172,117,2022-04-25 06:55:11,Ajuste de frenos
127,511,165,2021-10-25 09:52:58,Ajuste de motor
128,409,184,2022-08-22 13:43:02,Cambio de llantas
129,887,133,2021-11-28 18:29:36,Cambio de llantas
130,699,23,2022-12-21 22:58:41,Ajuste de frenos
131,488,69,2020-04-02 02:52:51,Ajuste de frenos
132,642,81,2020-07-04 16:15:50,Revisión general
133,500,73,2021-05-02 05:24:27,Cambio de aceite
134,612,1,2020-11-26 04:25:32,Ajuste de frenos
135,359,8,2021-04-05 08:35:48,Ajuste de frenos
136,184,144,2020-07-23 00:27:27,Ajuste de motor
137,701,129,2020-02-11 10:27:13,Revisión general
138,882,167,2021-10-08 02:51:45,Ajuste de motor
139,512,149,2020-10-01 23:46:07,Ajuste de motor
140,433,28,2021-10-25 01:45:01,Cambio de llantas
141,428,22,2021-09-29 13:59:28,Cambio de aceite
142,619,79,2020-03-11 22:54:12,Ajuste de motor
143,819,57,2022-03-20 03:59:35,Ajuste de frenos
144,98,101,2020-02-06 13:33:46,Ajuste de frenos
145,803,13,2020-03-12 11:36:29,Cambio de aceite
146,487,8,2021-08-24 16:38:04,Cambio de llantas
147,864,109,2020-09-08 03:43:30,Cambio de aceite
148,508,37,2020-01-03 20:08:02,Ajuste de frenos
149,711,88,2021-10-24 21:31:13,Revisión general
150,93,124,2021-02-16 15:15:57,Ajuste de motor
151,173,164,2020-02-11 01:36:45,Cambio de aceite
152,244,86,2022-05-09 08:02:18,Cambio de llantas
153,334,28,2022-05-16 15:23:10,Cambio de aceite
154,174,76,2022-10-03 03:27:27,Ajuste de frenos
155,105,83,2021-06-11 15:21:43,Ajuste de frenos
156,598,47,2022-08-03 15:36:22,Ajuste de motor
157,954,197,2021-09-14 18:45:18,Ajuste de motor
158,725,158,2021-02-15 20:03:14,Ajuste de motor
159,595,157,2020-10-11 21:01:43,Ajuste de motor
160,192,4,2021-06-15 16:47:30,Ajuste de frenos
161,344,105,2022-07-19 04:47:30,Cambio de aceite
162,5,1,2020-04-06 12:16:36,Ajuste de frenos
163,604,137,2022-01-29 05:26:33,Ajuste de frenos
164,281,13,2021-12-05 17:26:41,Cambio de aceite
165,781,149,2021-06-03 03:55:41,Ajuste de motor
166,926,117,2020-04-07 13:26:12,Ajuste de motor
167,989,83,2021-01-28 00:03:02,Revisión general
168,663,86,2021-07-12 03:04:04,Revisión general
169,970,79,2020-10-31 08:15:40,Cambio de aceite
170,102,34,2021-10-25 00:02:18,Ajuste de motor
171,403,120,2021-11-14 13:31:15,Ajuste de frenos
172,35,25,2021-07-10 23:43:55,Ajuste de frenos
173,528,138,2021-09-28 22:10:12,Cambio de llantas
174,859,170,2020-04-11 15:33:23,Revisión general
175,12,20,2020-02-17 07:42:34,Cambio de aceite
176,18,117,2022-07-09 01:54:43,Revisión general
177,669,84,2021-12-23 21:17:09,Ajuste de frenos
178,46,81,2021-12-17 09:07:48,Cambio de llantas
179,404,66,2022-01-07 07:07:21,Cambio de llantas
180,337,190,2022-03-12 07:23:44,Cambio de aceite
181,659,124,2020-01-04 23:48:53,Ajuste de frenos
182,885,158,2020-02-11 20:02:11,Revisión general
183,500,48,2021-09-26 20:04:57,Ajuste de motor
184,505,4,2020-03-27 18:50:07,Cambio de llantas
185,473,151,2022-09-28 21:05:49,Cambio de llantas
186,6,56,2020-09-25 19:20:30,Ajuste de motor
187,187,182,2022-05-09 22:54:31,Ajuste de frenos
188,82,51,2020-05-13 06:21:41,Cambio de llantas
189,59,153,2022-03-29 23:59:21,Ajuste de frenos
190,815,93,2022-12-05 17:28:28,Ajuste de frenos
191,126,26,2020-04-17 06:43:48,Ajuste de frenos
192,412,187,2020-12-06 20:08:12,Revisión general
193,593,115,2021-12-15 11:11:57,Cambio de llantas
194,726,131,2021-09-20 05:46:07,Ajuste de frenos
195,95,158,2020-08-23 03:58:21,Ajuste de motor
196,888,50,2021-11-13 16:02:09,Cambio de aceite
197,829,52,2021-03-09 13:44:26,Cambio de aceite
198,877,53,2022-08-06 10:20:34,Revisión general
199,898,21,2022-10-27 10:59:26,Ajuste de frenos
200,644,20,2020-11-06 13:35:27,Cambio de aceite
201,233,87,2020-08-24 03:04:10,Cambio de aceite
202,945,136,2020-04-27 20:25:38,Cambio de llantas
203,192,53,2020-03-15 09:52:40,Ajuste de frenos
204,969,11,2020-12-17 05:13:23,Cambio de llantas
205,349,181,2020-02-02 11:53:13,Ajuste de frenos
206,527,177,2020-12-20 08:36:51,Revisión general
207,751,115,2021-09-25 09:09:45,Cambio de aceite
208,358,127,2022-10-14 19:32:12,Cambio de llantas
209,337,87,2021-07-04 05:49:17,Ajuste de frenos
210,650,19,2020-03-29 16:31:02,Ajuste de motor
211,183,152,2021-12-03 10:50:36,Ajuste de frenos
212,258,83,2020-12-13 16:48:12,Ajuste de frenos
213,470,117,2020-04-10 16:05:39,Ajuste de motor
214,8,101,2022-03-10 17:10:02,Ajuste de motor
215,777,181,2021-07-20 11:07:59,Cambio de aceite
216,951,124,2020-11-10 11:45:56,Cambio de llantas
217,538,104,2021-11-16 12:09:20,Cambio de aceite
218,730,1,2020-01-27 18:20:48,Ajuste de frenos
219,931,61,2021-06-20 17:46:37,Revisión general
220,842,5,2021-09-18 19:45:31,Ajuste de motor
221,316,123,2020-11-02 09:50:06,Cambio de aceite
222,740,43,2022-08-18 18:15:54,Cambio de llantas
223,281,83,2022-07-08 14:50:35,Cambio de llantas
224,666,71,2022-08-12 13:46:37,Revisión general
225,62,125,2022-06-26 13:12:52,Ajuste de motor
226,322,162,2020-01-30 20:11:01,Revisión general
227,903,103,2020-08-19 20:44:46,Cambio de aceite
228,466,37,2020-10-13 06:41:38,Ajuste de frenos
229,741,94,2022-03-25 12:05:14,Ajuste de frenos
230,475,45,2021-11-03 11:30:46,Revisión general
231,999,115,2022-07-01 15:01:27,Cambio de aceite
232,637,104,2020-11-30 14:05:27,Ajuste de motor
233,817,57,2021-09-17 05:21:51,Ajuste de frenos
234,204,129,2020-04-20 16:31:58,Ajuste de frenos
235,455,177,2022-12-12 10:27:55,Ajuste de motor
236,387,110,2020-02-17 15:32:43,Cambio de aceite
237,524,25,2020-07-12 02:16:43,Revisión general
238,868,26,2020-11-21 04:11:14,Ajuste de frenos
239,534,50,2020-09-03 17:02:34,Ajuste de frenos
240,366,150,2020-11-19 22:46:37,Ajuste de frenos
241,589,61,2022-03-02 20:51:50,Revisión general
242,723,130,2022-07-20 06:54:13,Revisión general
243,941,97,2020-07-26 06:03:44,Revisión general
244,831,63,2022-06-19 23:52:02,Cambio de aceite
245,216,61,2022-11-13 23:13:37,Cambio de aceite
246,681,137,2022-10-27 19:54:08,Ajuste de motor
247,710,122,2020-05-01 06:38:21,Ajuste de motor
248,728,9,2022-12-31 14:55:32,Ajuste de motor
249,971,188,2021-05-07 17:36:35,Revisión general
250,963,120,2020-09-23 18:57:16,Cambio de llantas
251,814,33,2022-02-09 07:24:00,Cambio de llantas
252,393,57,2021-02-17 23:08:27,Ajuste de motor
253,827,88,2022-01-06 23:13:50,Revisión general
254,479,24,2022-11-13 18:53:25,Ajuste de motor
255,208,186,2021-06-27 19:13:07,Revisión general
256,831,144,2020-02-12 23:56:15,Ajuste de frenos
257,364,167,2020-12-11 13:10:28,Revisión general
258,360,38,2021-04-26 05:11:41,Cambio de aceite
259,183,55,2022-07-03 19:45:43,Ajuste de frenos
260,957,55,2021-08-14 22:34:44,Revisión general
261,729,97,2020-04-08 13:24:20,Cambio de llantas
262,961,170,2022-06-23 04:51:24,Ajuste de motor
263,308,111,2021-09-01 17:41:17,Revisión general
264,98,30,2022-09-11 08:57:39,Ajuste de motor
265,214,125,2020-05-05 14:04:08,Cambio de llantas
266,431,46,2022-07-27 10:47:31,Cambio de aceite
267,49,130,2021-08-24 19:02:22,Ajuste de frenos
268,689,160,2021-02-27 23:01:34,Ajuste de motor
269,246,127,2021-11-14 03:10:01,Cambio de llantas
270,619,31,2021-11-21 09:55:32,Ajuste de motor
271,680,36,2020-07-31 16:32:26,Ajuste de motor
272,292,19,2020-10-03 10:42:05,Ajuste de motor
273,350,32,2021-12-11 07:23:15,Ajuste de motor
274,359,197,2021-10-17 20:08:44,Cambio de llantas
275,493,7,2020-06-14 22:29:24,Cambio de aceite
276,470,115,2022-08-21 19:40:04,Ajuste de motor
277,666,200,2020-11-03 17:47:50,Cambio de llantas
278,294,134,2020-06-01 04:31:10,Ajuste de frenos
279,781,172,2021-05-25 13:51:14,Cambio de llantas
280,314,191,2020-08-20 09:20:53,Cambio de llantas
281,278,122,2020-06-25 21:21:47,Revisión general
282,25,99,2022-07-04 22:41:24,Cambio de llantas
283,792,177,2022-09-28 14:31:02,Ajuste de frenos
284,35,87,2022-09-06 07:32:20,Cambio de llantas
285,758,101,2021-06-06 22:50:43,Revisión general
286,558,120,2021-03-01 02:11:23,Revisión general
287,864,4,2020-10-02 20:06:15,Cambio de llantas
288,511,188,2021-04-04 13:06:33,Revisión general
289,325,21,2022-06-10 09:27:58,Cambio de aceite
290,320,145,2022-11-16 02:39:02,Ajuste de frenos
291,738,38,2021-09-23 03:39:35,Revisión general
292,967,174,2020-01-23 22:43:24,Cambio de aceite
293,751,4,2020-07-17 12:44:48,Ajuste de motor
294,160,128,2022-06-16 05:45:48,Ajuste de frenos
295,667,25,2021-08-26 22:34:09,Ajuste de motor
296,569,109,2022-12-29 13:51:50,Ajuste de frenos
297,765,64,2021-04-20 10:49:05,Ajuste de frenos
298,981,33,2022-12-02 04:14:00,Revisión general
299,993,73,2020-05-21 20:08:35,Ajuste de frenos
300,71,86,2021-05-11 02:48:05,Ajuste de frenos
301,900,25,2020-02-10 12:09:27,Cambio de llantas
302,337,197,2021-07-12 21:52:17,Revisión general
303,947,8,2022-03-24 11:49:18,Revisión general
304,751,157,2020-05-05 07:51:38,Revisión general
305,633,104,2020-12-01 03:20:02,Revisión general
306,255,50,2020-02-18 13:04:57,Revisión general
307,383,99,2020-09-29 13:30:41,Cambio de aceite
308,64,101,2020-01-24 22:40:46,Cambio de aceite
309,249,193,2022-11-17 12:59:41,Cambio de aceite
310,89,68,2022-04-20 00:04:44,Cambio de llantas
311,647,95,2022-11-14 16:20:40,Ajuste de motor
312,31,102,2020-11-21 11:57:30,Cambio de aceite
313,898,180,2021-11-24 17:37:11,Ajuste de frenos
314,738,51,2020-09-01 16:44:24,Cambio de llantas
315,384,189,2022-06-06 07:21:51,Cambio de aceite
316,697,59,2022-07-06 23:44:12,Ajuste de motor
317,7,85,2021-10-25 20:27:16,Revisión general
318,537,141,2022-01-29 03:27:42,Revisión general
319,161,137,2021-04-25 18:03:14,Ajuste de frenos
320,584,68,2021-11-04 21:30:56,Ajuste de frenos
321,107,100,2022-02-26 10:33:27,Cambio de aceite
322,899,124,2022-01-18 22:20:20,Ajuste de frenos
323,971,170,2022-01-28 18:26:55,Cambio de aceite
324,306,93,2020-06-18 02:43:33,Cambio de llantas
325,834,34,2020-10-16 21:24:22,Ajuste de motor
326,99,9,2022-05-24 01:14:22,Revisión general
327,67,45,2022-05-13 02:44:53,Cambio de llantas
328,992,17,2020-11-11 15:20:24,Cambio de aceite
329,671,137,2020-12-23 10:15:49,Cambio de llantas
330,572,14,2021-04-28 23:38:13,Cambio de aceite
331,291,53,2022-09-17 16:19:40,Revisión general
332,943,139,2020-06-25 07:28:44,Ajuste de frenos
333,862,115,2020-05-03 01:04:48,Revisión general
334,459,119,2022-07-08 19:10:39,Cambio de aceite
335,62,193,2021-11-14 16:24:02,Ajuste de frenos
336,77,187,2022-04-14 20:12:46,Cambio de llantas
337,922,17,2022-04-21 10:24:10,Cambio de llantas
338,85,168,2021-08-27 07:35:06,Cambio de llantas
339,951,30,2021-07-31 08:01:28,Ajuste de motor
340,649,21,2021-08-14 01:23:09,Ajuste de motor
341,713,117,2020-11-26 15:00:55,Ajuste de frenos
342,671,161,2022-12-28 22:21:13,Ajuste de motor
343,508,124,2020-04-03 00:04:54,Cambio de aceite
344,743,88,2021-12-16 08:56:31,Ajuste de motor
345,586,11,2022-02-22 05:20:10,Cambio de aceite
346,358,19,2022-04-01 20:10:19,Revisión general
347,505,140,2021-02-08 12:58:48,Cambio de llantas
348,980,43,2020-08-05 14:13:55,Ajuste de frenos
349,16,12,2020-10-06 16:44:40,Ajuste de motor
350,85,200,2021-05-29 02:32:07,Revisión general
351,848,199,2022-12-23 10:39:50,Ajuste de frenos
352,378,152,2022-05-11 22:35:18,Cambio de aceite
353,783,120,2020-10-11 17:40:37,Ajuste de frenos
354,768,193,2022-07-25 12:02:43,Revisión general
355,243,97,2021-05-02 21:58:03,Revisión general
356,916,137,2022-01-11 19:34:36,Ajuste de frenos
357,627,55,2022-08-26 11:55:16,Revisión general
358,179,132,2020-05-09 23:58:37,Cambio de aceite
359,25,135,2022-06-22 07:19:50,Ajuste de motor
360,1,111,2021-06-08 06:22:58,Revisión general
361,88,147,2021-12-18 08:47:47,Cambio de llantas
362,937,197,2021-03-06 21:54:45,Ajuste de motor
363,762,81,2022-03-31 01:32:42,Cambio de llantas
364,53,52,2020-07-29 19:38:50,Cambio de llantas
365,155,73,2020-05-22 07:41:00,Cambio de llantas
366,732,91,2022-07-31 10:45:57,Ajuste de motor
367,683,180,2021-11-02 22:55:55,Ajuste de frenos
368,361,116,2021-12-10 19:28:03,Ajuste de frenos
369,868,133,2021-04-12 18:48:50,Cambio de llantas
370,805,110,2020-10-04 13:17:14,Cambio de aceite
371,456,156,2021-11-20 03:54:16,Revisión general
372,448,1,2020-08-22 05:44:16,Revisión general
373,204,29,2020-03-19 03:36:43,Cambio de aceite
374,572,95,2022-04-07 01:38:55,Revisión general
375,997,31,2021-05-24 21:29:27,Ajuste de motor
376,30,46,2022-10-23 18:28:11,Ajuste de frenos
377,443,73,2020-06-05 23:09:28,Ajuste de frenos
378,342,61,2020-09-16 19:38:36,Ajuste de frenos
379,913,146,2020-06-22 06:45:39,Cambio de llantas
380,108,51,2020-11-01 03:28:13,Ajuste de frenos
381,71,95,2021-03-26 12:33:02,Ajuste de frenos
382,661,48,2022-11-09 00:12:17,Ajuste de frenos
383,755,23,2020-04-12 12:25:06,Cambio de aceite
384,921,144,2021-02-01 20:22:06,Cambio de llantas
385,292,127,2021-10-29 14:00:30,Cambio de llantas
386,498,28,2020-05-10 17:45:41,Cambio de llantas
387,81,34,2022-09-27 08:16:23,Cambio de aceite
388,427,191,2020-03-28 19:14:34,Cambio de aceite
389,665,198,2021-08-26 11:03:19,Cambio de aceite
390,816,189,2022-06-28 23:25:26,Revisión general
391,28,80,2020-03-24 05:39:21,Revisión general
392,6,60,2020-06-12 03:06:38,Ajuste de motor
393,480,120,2021-07-12 05:37:54,Ajuste de frenos
394,410,131,2022-10-28 19:53:00,Revisión general
395,200,139,2020-04-21 19:44:32,Ajuste de motor
396,993,143,2022-07-14 08:31:00,Revisión general
397,640,129,2022-09-09 16:57:57,Ajuste de frenos
398,237,168,2021-11-05 01:09:38,Cambio de aceite
399,538,16,2022-03-09 17:44:07,Cambio de llantas
400,407,83,2022-03-30 04:11:43,Ajuste de frenos
401,912,32,2021-07-12 17:39:39,Revisión general
402,741,122,2022-12-06 14:48:36,Ajuste de motor
403,944,43,2021-12-23 14:30:40,Cambio de llantas
404,16,122,2022-06-22 09:40:23,Cambio de aceite
405,502,104,2021-04-28 05:27:54,Cambio de llantas
406,432,121,2021-04-23 00:00:32,Revisión general
407,939,101,2021-06-22 12:21:28,Ajuste de motor
408,947,68,2022-02-14 09:32:03,Cambio de aceite
409,876,156,2022-07-18 04:37:10,Revisión general
410,985,177,2021-06-29 11:27:28,Ajuste de motor
411,495,22,2022-08-20 04:36:05,Cambio de aceite
412,654,165,2020-08-19 13:37:18,Ajuste de motor
413,536,149,2022-08-14 14:38:36,Cambio de aceite
414,954,104,2020-12-21 14:36:25,Ajuste de frenos
415,50,140,2021-01-16 02:17:06,Ajuste de motor
416,53,153,2021-07-14 09:23:41,Cambio de llantas
417,619,77,2021-10-02 01:50:43,Ajuste de motor
418,723,195,2020-02-20 20:42:22,Ajuste de motor
419,402,123,2021-04-11 18:29:39,Ajuste de frenos
420,491,194,2022-05-21 15:45:31,Ajuste de frenos
421,137,146,2021-03-23 07:48:46,Revisión general
422,534,114,2020-03-18 13:21:22,Revisión general
423,741,77,2020-04-22 05:26:30,Revisión general
424,270,166,2021-02-07 02:58:32,Ajuste de frenos
425,616,181,2021-02-25 03:27:55,Cambio de aceite
426,740,180,2020-11-28 16:24:36,Ajuste de frenos
427,81,47,2021-04-26 20:36:36,Cambio de aceite
428,550,102,2020-07-20 22:16:15,Ajuste de frenos
429,697,44,2020-09-19 23:50:37,Revisión general
430,462,5,2020-12-03 18:54:36,Ajuste de frenos
431,162,164,2021-12-23 14:36:20,Ajuste de frenos
432,844,176,2021-02-11 22:05:41,Cambio de llantas
433,833,191,2020-05-18 06:39:44,Ajuste de frenos
434,911,23,2022-02-16 04:23:31,Ajuste de motor
435,44,96,2022-06-25 15:44:21,Ajuste de motor
436,921,129,2022-06-29 20:14:02,Revisión general
437,92,179,2021-08-23 13:29:21,Cambio de llantas
438,789,29,2021-09-25 22:48:44,Revisión general
439,799,57,2021-12-21 13:43:36,Ajuste de motor
440,783,187,2020-01-31 07:45:58,Ajuste de motor
441,685,14,2022-03-19 17:26:03,Cambio de aceite
442,95,179,2021-11-01 22:43:25,Ajuste de motor
443,145,109,2020-03-22 04:24:21,Cambio de llantas
444,640,68,2020-06-19 11:46:28,Ajuste de frenos
445,639,121,2020-02-22 08:12:51,Cambio de llantas
446,385,40,2022-12-02 21:10:31,Cambio de llantas
447,636,101,2022-05-24 16:15:25,Ajuste de motor
448,756,186,2021-05-15 09:39:23,Cambio de llantas
449,689,183,2021-06-24 22:06:32,Ajuste de motor
450,428,8,2022-06-03 07:48:37,Cambio de aceite
451,896,132,2020-02-29 03:01:05,Ajuste de frenos
452,133,55,2021-06-18 16:00:26,Cambio de llantas
453,197,172,2020-10-24 04:02:31,Ajuste de frenos
454,659,71,2022-10-26 10:37:41,Ajuste de motor
455,548,193,2021-08-22 01:29:59,Ajuste de frenos
456,915,151,2022-07-27 02:26:51,Revisión general
457,386,98,2021-06-25 09:31:24,Ajuste de frenos
458,956,51,2022-12-30 00:25:37,Ajuste de motor
459,290,130,2020-01-04 20:38:49,Cambio de aceite
460,429,63,2020-04-29 06:57:02,Ajuste de frenos
461,853,132,2021-07-29 16:17:48,Cambio de aceite
462,988,152,2021-03-13 00:53:31,Ajuste de motor
463,757,27,2022-08-11 06:06:42,Cambio de llantas
464,170,50,2022-03-08 12:36:37,Ajuste de frenos
465,844,24,2020-11-17 02:31:59,Cambio de llantas
466,417,139,2022-07-20 15:41:40,Cambio de aceite
467,808,16,2021-08-15 15:31:35,Cambio de llantas
468,8,194,2020-05-24 11:51:24,Ajuste de motor
469,756,23,2022-08-30 10:37:47,Cambio de llantas
470,54,143,2020-03-19 23:36:48,Cambio de aceite
471,810,146,2021-06-13 04:49:37,Cambio de llantas
472,282,175,2020-06-04 04:11:40,Cambio de aceite
473,191,78,2020-06-13 19:25:30,Cambio de llantas
474,982,177,2021-07-19 04:06:26,Cambio de llantas
475,823,190,2021-09-17 16:50:06,Ajuste de frenos
476,298,178,2022-07-10 05:18:32,Revisión general
477,289,158,2021-08-13 04:16:00,Ajuste de frenos
478,879,125,2021-05-17 09:17:05,Cambio de llantas
479,522,68,2021-07-24 10:15:30,Cambio de aceite
480,640,141,2022-08-26 04:58:28,Cambio de aceite
481,238,153,2020-04-23 12:50:29,Ajuste de frenos
482,426,25,2020-01-24 21:00:14,Cambio de aceite
483,584,191,2021-06-17 17:52:16,Ajuste de frenos
484,314,166,2021-05-05 19:40:25,Cambio de aceite
485,306,76,2021-09-11 04:33:15,Cambio de llantas
486,109,102,2021-05-23 17:17:03,Ajuste de motor
487,720,11,2021-01-02 18:10:45,Revisión general
488,801,199,2020-05-02 17:30:33,Revisión general
489,824,173,2020-05-04 18:40:42,Cambio de llantas
490,89,131,2022-03-19 13:59:35,Revisión general
491,783,156,2020-02-27 14:59:53,Cambio de llantas
492,981,58,2020-04-09 23:38:53,Revisión general
493,793,126,2022-03-02 16:53:49,Ajuste de frenos
494,599,77,2022-02-12 09:56:56,Ajuste de motor
495,739,128,2021-09-25 09:15:50,Revisión general
496,567,6,2022-02-13 22:25:36,Ajuste de motor
497,608,144,2021-01-18 03:01:37,Ajuste de motor
498,771,151,2021-05-02 12:37:10,Ajuste de motor
499,499,62,2022-02-24 02:29:08,Cambio de llantas
500,563,50,2022-06-27 18:47:22,Ajuste de frenos
501,569,179,2020-12-25 01:09:11,Revisión general
502,652,161,2021-09-15 23:37:19,Ajuste de frenos
503,564,83,2020-01-05 15:37:18,Revisión general
504,664,80,2020-05-17 16:58:08,Ajuste de motor
